Field 1,Field 0,Field 1 2,Ingredient (as per 100 g),Synonyms,Fruit/Veg,Red/Processed Meat,Not food/drink,No Data Available,Energy (Kj),Energy (Kcal),Carbohydrate (g),Of which sugars (g),Fibre (g),Protein (g),Total fat (g),Of which saturates (g),Monounsaturated fat (g),Polyunsaturated fat (g),Omega 3 (g),Omega 6 (g),Trans-fats (g),Salt (g),Alcohol (g),Calcium (mg),Chloride (mg),Phosphorus (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Iron (mg),Selenium (ug),Iodine (ug),Vitamin A (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K1,Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Folates (B9) (ug),Vitamin B12 (ug),Vitamin C (mg),Nutritics ID,Comments,Source URL,Source URL 2,Source URL 3,Source URL 4,Source URL 5
100,578,649,vanilla bean,"flavouring, flavorer, vanilla, vanilla orchid, flavourer, seasoner, flavoring, vanilla extract, vanillin, seasoning, Vanilla planifolia",,,,,1423,340,62,62,0,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,147511,vanilla bean paste,,,,,
101,579,650,dry red wine,,,,,,317,76,0,0,0,0,0,0,0,0,0,0,0,0.02,10.7,7,11,13,7,110,11,0.9,0,,0,0,,0,0,0.02,0.1,0.04,0.03,2,1,0,0,65534,,,,,,
102,581,652,boneless pork,,,checked,,,764,182,0,0,0,30,6.8,2.4,2.6,1.1,,,0,0.15,0,12,60,230,61,370,25,0.8,19,5,0,0.7,0.03,0,0.78,0.2,12.7,1.9,0.37,5,2,1,0,64819,,,,,,
103,583,654,butternut,"Juglans, walnut tree, genus Juglans, walnut, white walnut, Juglans cinerea, butternut tree",checked,,,,165,39,7.1,3.8,3.2,0.9,0,0,0,0,0,0,0,0,0,41,37,27,4,280,29,0.6,,,545,0,1.8,0,0.07,0.02,0.8,0.36,0.12,0.4,19,0,15,65281,,,,,,
104,584,655,jalapeno peppers,"chilly, chipotle, chile, chili pepper, jalapeno, chili, chilli",,,,,107,26,4.2,4.1,1.7,0.7,0.5,0.03,0.02,0.15,,,0,0.99,0,36,,11,397,113,4,1.3,0.3,,6,0,,,0.01,0.03,0.63,0.08,0.12,,54,0,34.2,5618,,,,,,
105,585,656,cooking oil,"oil, vegetable oil",,,,,3696,899,0,0,0,0,100,6.6,59,29.3,9.6,19.7,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,22.2,113,0,0,0,0,0,0,0,0,0,64451,,,,,,
106,588,659,lemon peel,"skin, lemon zest, lemon, lemon oil, lemon rind, peel",,,,,121,30,0,0,11,1.5,0.5,0.1,0,0.1,,,0,0.02,0,130,,12,6,160,15,0.8,,,5,0,0.25,0,0.06,0.08,0.6,0.19,0.17,,11,0,130,64189,,,,,,
107,589,660,ice cubes,"cube, square block, ice, water ice",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.16,1,0.01,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,10474,,,,,,
108,590,661,condensed cream,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,593,664,medium potatoes,,,,,,344,81,18,0.8,1.6,1.8,0,0.03,,,,,,0,0,6,74,,1,365,18,0.34,,,0,0,0.01,,,,,,,,18,0,9,64909,,,,,,
110,594,665,ground pork,pork mince,,,,,685,164,0,0,,19,9.7,3.6,3.8,1.6,0.19,1.4,0.04,0.17,0,7,67,190,66,390,20,0.9,12,5,0,0.8,0.09,,0.96,0.22,10,1.3,0.2,1,2,1,0,64824,,,,,,
111,595,666,yellow bell pepper,,checked,,,,117,28,4.6,4.4,2.2,0.8,0,0,0,0,0,0,0,0,0,7,64,21,1,189,10,0.48,0,3,22,0,0.64,0,0.11,0.02,0.5,0.35,0.16,3.9,30,0,121,64635,,,,,,
112,597,669,fresh orange,,checked,,,,182,43,8,8,1.2,0.8,0,0.05,0.05,0.07,,,0,0,0,24,73,16,1,122,8,0.11,0,1,9,0,0.35,0.05,0.22,0.03,0.6,0.27,0.05,1,33,0,52,64483,,,,,,
113,599,671,fresh sage,,checked,,,,501,119,16,0,0,3.9,4.6,2.6,0.7,0.7,,,,0,0,600,,33,4,390,160,,,,215,0,,0,0.11,,,,,,,0,0,65078,,,,,,
114,601,673,large shrimp,,,,,,493,117,0,0,0,24,2.4,0.4,0.5,0.8,0.68,0.8,,,0,320,5850,270,3840,400,110,1.8,46,100,,0,,0,0.01,0.01,5.4,0.24,0.08,1,9,3,0,65219,in salt water,,,,,
115,602,674,baby spinach,,checked,,,,87,19,0,0,1,2.6,0.6,0.08,0.08,0.38,,,0,0.08,0,119,49,44,31,682,80,1.9,5,4,260,0,0.48,295,0.09,0.18,1.7,0.28,0.12,0.1,161,0,29,65265,,,,,,
116,604,676,graham cracker crumbs,,,,,,,524,57.14,23.81,0,4.76,28.57,19.05,,,,,0,,0,0,,,333,0,,1.71,,,,0,,,,,,,,,,,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1945336/nutrients,,,,
117,605,677,onion soup,,checked,,,,190,46,4.9,3.6,1.3,0.9,2.2,0.19,1.2,0.64,,,0,0.58,0,19,363,17,231,90,5,0.21,0,0,1,0,0.61,0,0.06,0,0.5,0.05,0.1,0.4,5,0,1,65241,homemade,,,,,
118,608,680,jalapenos,"chilly, chipotle, chile, jalapeno pepper, chili pepper, chili, chilli",,,,,107,26,4.2,4.1,1.7,0.7,0.5,0.03,0.02,0.15,,,,0.99,0,36,,11,397,113,4,1.3,0.3,,6,0,,,0.01,0.03,0.63,0.08,0.12,,54,0,34.2,5618,,,,,,
119,611,683,light cream,"cream, coffee cream, single cream",,,,,669,162,4.1,2.9,0,2.6,15,10.2,3.2,0.4,,,0.29,0.09,0,95,,81,36,122,9,0.1,4,8,304,0,0.42,0,0.02,0.21,,,0.01,,3,0.2,,63552,low fat creme fraiche,,,,,
120,612,684,dill weed,"dill, herb, Anethum graveolens",,,,,128,31,0.9,0.8,2.5,3.7,0.8,,,,,,,0.07,0,340,,85,26,750,44,3.2,2,,1015,0,1.7,0,0.18,0.58,,,,,36,0,86,63699,,,,,,
121,613,685,lemon balm,"herb, Melissa officinalis, bee balm, beebalm, garden balm, sweet balm",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,615,688,corn kernels,,checked,,,,352,84,13,7.2,3.1,2.6,1.7,0.27,0.41,0.68,,,0,0,0,3,84,52,1,158,16,0.34,0,0,7,0,0.63,0,0.26,0.06,2.3,0.12,0.13,1.1,45,0,24,65332,,,,,,
123,616,690,green peppers,"sweet pepper, capsicum, bell pepper",checked,,,,84,20,2.6,2.4,1.9,0.8,0.5,0.1,0,0.2,,,0,0,0,8,19,19,4,120,10,0.4,0,1,44,0,0.8,6.4,0.01,0.01,0.2,0.08,0.3,,36,0,120,64643,,,,,,
124,617,691,large egg whites,,,,,,184,43,0,0,0,11,0,0,0,0,0,0,0,0.46,0,6,159,12,185,149,12,0.01,8,4,0,0,0,0,0.02,0.42,2.8,0.28,0.04,5.6,10,0.3,0,63748,,,,,,
125,620,694,chestnuts,chromatic,,,,,759,180,34,6.7,6.1,2.3,2.7,0.5,1,1.1,,,0,0.03,0,46,15,74,11,500,0.5,0.9,0,,0,0,1.2,,0.14,0.02,0.5,0.49,0.34,1.4,,0,0,63315,,,,,,
126,622,696,dried rosemary,,,,,,2928,700,15,0,0,0.5,77,0,3,2.3,,,0,2,0,1280,1212,70,788,950,220,29.3,5,,313,0,,0,0.51,0.43,,,1.7,,307,0,61,65070,,,,,,
127,624,698,tortilla chips,"corn chip, nacho",,,,,2126,509,55,2.4,5.9,7.3,27,2.9,20.1,3.1,0.07,3,0.08,1.6,0,103,900,234,636,285,78,1.5,5,,35,0,7.1,0.18,0.11,0.18,1.4,0.28,0.15,0.8,10,0,0,65418,fried in sunflower oil,,,,,
128,625,699,pie shell,"pie crust, pastry",,,,,2134,511,52,0.6,2.8,7.3,30,19,7.5,1.2,,,1,0.65,0,74,494,88,258,133,17,1.4,2,13,373,0.3,1.1,0,0.15,0.05,2.5,0.25,0.09,1.3,6,0.1,0,64574,"homemade, cooked",,,,,
129,627,701,scallops,"Pectinidae, lamellibranch, bay scallop, Pecten irradians, Pecten magellanicus, pelecypod, giant scallop, scollop, sea scallop, bivalve, family Pectinidae, escallop",,,,,504,119,3.4,0,0,23,1.4,0.4,0.1,0.4,0.25,0.1,,0.45,,29,410,240,180,240,38,1.1,51,20,0,0,,0,0.08,0.05,5.9,0.16,,2,18,9,0,65178,,,,,,
130,628,702,green bell peppers,,checked,,,,84,20,2.6,2.4,1.9,0.8,0.5,0.1,0,0.2,,,0,0,0,8,19,19,4,120,0.1,0.4,0,1,44,0,0.8,6.4,0.01,0.01,0.2,0.08,0.3,,36,0,120,64643,,,,,,
131,629,703,prepared mustard,,,,,,786,188,13,13,0,6.8,12,0.7,5.8,1.6,0,0,0,8.5,0,70,3550,190,3400,200,82,2.9,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,42544,colmans english,,,,,
132,631,705,gluten,"corn gluten, wheat gluten, protein",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,633,707,yellow corn,sweetcorn,checked,,,,352,84,13,7.2,3.1,2.6,1.7,0.3,0.41,0.68,,,,0,,3,84,52,1,158,16,0.34,,,7,0,0.63,0,0.26,0.06,2.3,0.12,0.13,1.1,45,0,24,65332,"kernels, canned in water, drained",,,,,
134,635,709,fresh orange juice,,,,,,161,38,7.9,7.9,0,0.6,0,0,0,0,,,0,0,0,12,73,22,2,180,12,0.3,0,1,9,0,0.35,0,0.08,0.02,0.3,0.27,0.05,1,28,0,48,64480,,,,,,
135,637,711,green olives,olive,,,,,454,111,0,0,4,0.9,11,1.7,5.7,1.3,,,0,3.3,0,61,2220,17,1330,91,22,1,,,30,0,2,0,0,0,0.1,0.02,0.02,0,0,0,0,64459,,,,,,
136,638,712,elbow macaroni,,,,,,748,176,36,1.1,2.2,5.8,0.7,0.2,,,,,,0.1,,,61,,40,,,,,,,,,,,,,,,,,,,2577641,,,,,,
137,640,714,panko,,,,,,1121,266,47,0.6,1.3,7.5,5.5,2.2,,,,,,0.53,,,321,,212,,,,,,,,,,,,,,,,,,,2650961,,,,,,
138,642,716,pork tenderloin,"undercut, tenderloin",,checked,,,1011,241,0,0,0,38,10,3.7,4,1.5,,,0.1,0.18,0,22,74,260,70,410,29,0.9,,5,0,0.8,0.03,0,0.91,0.16,17.7,2.4,0.5,6,2,1,0,64812,"roasted, lean",,,,,
139,643,717,stewed tomatoes,,checked,,,,111,26,3.8,3.8,0.8,1.1,0,0,0.01,0.04,,,0,0.01,0,11,74,17,5,212,0.09,0.57,0,3,55,0,1.4,6,0.13,0.04,1.1,0.11,0.12,1.4,11,0,11,65401,"whole peeled, canned",,,,,
140,644,718,seasoning mix,,,,,,1216,287,59,54,1.6,7,2.2,0.8,,,,,,18,,243,4832,151,7200,845,57,4.5,1.2,15.7,439,0,1.2,0,0.15,0.12,2.5,0.26,0.23,1.4,21.7,0,106,5416,fajita spice mix,,,,,
141,645,719,boneless skinless chicken breast halves,,,,,,613,145,0,0,0,32,1.9,0.6,1,0.4,0.11,0.41,0.03,0.14,0,6,86,310,56,460,36,0.4,16,7,0,0.3,0.17,0,0.14,0.13,22,1.7,0.63,2,6,0,0,63336,,,,,,
142,646,720,hazelnuts,"hazelnut tree, hazel, edible nut, cobnut, filbert, cob",,,,,2800,679,5.7,3.8,8.9,17,64,4.6,49,6.6,0.12,6.5,0,0.03,0,140,18,300,10,730,160,3.2,2,17,0,0,25,,0.43,0.16,5.1,1.5,0.59,76,72,0,0,63962,kernel only,,,,,
143,647,721,frozen chopped spinach,,checked,,,,116,28,0.5,0.5,3.1,3.1,0.8,0.1,0.1,0.5,,,0,0.04,0,150,31,48,16,340,31,1.7,1,2,1101,0,1.7,840,0.06,0.05,0.9,0.21,0.09,0.1,52,0,6,65267,,,,,,
144,648,722,dried tomatoes,sundried tomatoes,checked,,,,2165,526,5.2,2.9,13,3.3,51,6.7,15.1,27.2,0.72,26.4,0.35,2.5,0,31,1592,46,1008,460,27,1.9,0,48,67,0,24,,,,,,,,68,0,0,65912,,,,,,
145,649,723,scotch,"Scottish, Scots",,,,,996,240,0,0,,0,0,0,,,,,,0,31.6,,,,,,,,,,,,,,,,,,,,,,,3027759,dimple blended scotch whiskey,,,,,
146,650,724,maraschino,"cordial, maraschino liqueur, marasca, liqueur",,,,,697,164,39,39,3.2,0,0,0.04,0.05,,,,0,0,0,54,,3,4,21,4,0.43,0.2,,2,0,0.05,1.5,0,0,,0.05,0.01,,0,0,0,141927,,,,,,
147,651,725,masala,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,652,726,chili peppers,"chilly, long pepper, chili powder, chilli pepper, chile, hot pepper, Capsicum annuum longum, jalapeno pepper, chilli, cayenne, cayenne pepper, chili, jalapeno",,,,,129,31,4.2,4.2,1.9,1.8,0.5,0,0,0.2,,,,0.03,,16,,39,12,440,21,1,,,685,0,,0,0.12,0.15,2.5,0.06,0.28,,23,0,225,64641,,,,,,
149,653,727,lettuce leaves,,checked,,,,90,21,1.9,1.9,1.3,2.1,0.5,0,0,0.2,0,0,0,0,0,19,42,18,2,160,5,0.4,1,2,8,0,0.57,0,0.11,0.01,0.4,0.18,0.03,0.7,,0,3,155260,,,,,,
150,654,728,flat leaf parsley,,checked,,,,184,44,2.7,2.3,5,2.9,1.3,,,,,,0,0.08,0,200,160,64,33,760,23,7.7,1,,673,0,1.7,548,0.23,0.06,1.5,0.3,0.09,0.4,170,0,190,64528,,,,,,
151,656,730,cashews,"cashew tree, edible nut, Anacardium occidentale, cashew nut",,,,,2457,593,17,4.4,4.4,21,48,9.5,27.8,8.8,0.05,8.8,,0.04,,32,17,560,15,710,270,6.2,29,11,1,0,0.85,0,0.69,0.14,5.7,1.1,0.49,12.7,67,0,0,63205,,,,,,
152,657,731,creamy peanut butter,,,,,,2620,632,12,6.4,6.6,26,52,12.8,19.9,16.8,0,16.8,0,0.88,0,37,500,330,350,700,180,2.1,3,,0,0,5,0,0.17,0.09,17.4,1.6,0.58,94,53,0,0,64594,,,,,,
153,658,732,anchovy,"family Engraulidae, soft",,,,,798,191,0,0,0,25,10,1.6,5.3,1.8,0.05,1.7,0,9.8,0,300,6090,300,3930,230,56,4.1,0,0,57,0,0,0,0,0.1,8.5,0,0,0,18,11,0,62680,,,,,,
154,659,733,unsweetened chocolate,,,,,,2340,564,32,27,11,9.1,42,25.6,17.8,1.5,0,0,0,0,0,68,137,284,0.39,641,202,9.1,7.6,0,2.5,0,0.59,7.3,0.03,0.06,0.95,0.36,0.04,0,0,0.23,0,8631,,,,,,
155,663,737,dark rum,,,,,,932,224,0.5,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,3062102,,,,,,
156,664,738,tequila,"spirits, booze, John Barleycorn, strong drink, hard liquor, liquor, hard drink, Agave tequilana",,,,,967,231,0,0,0,0,0,0,0,0,0,0,0,,33.4,0,,4,1,2,0,0.04,0,,0,0,0,0,0.006,0.004,0.013,,0.001,,0,0,0,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1104491/nutrients,,,,
157,665,739,salmon fillets,,,,,,996,239,0,0,0,25,16,3,6.2,4.2,3.3,0.79,0,0.12,0,11,86,262,49,412,30,0.45,20,14,18,7.8,3.9,0,0.21,0.1,12.8,1.5,0.16,2.4,9,3.4,0,65099,,,,,,
158,666,740,fresh tarragon,,checked,,,,205,49,6.3,0,0,3.4,1.1,,,,,,,0.02,0,170,,46,9,450,51,,,,62,0,,0,0.15,,,,,,,0,2,65364,,,,,,
159,667,741,boiled eggs,,,,,,595,143,0,0,0,14,9.6,2.7,3.7,1.5,0.14,1.4,0.01,0.38,0,55,179,205,150,141,14,2,27,52,120,3.2,1.6,0,0.08,0.47,3.7,1.3,30,16.7,30,2,0,63749,,,,,,
160,668,742,garbanzo,"Egyptian pea, chickpea plant, legume, Cicer arietinum, chickpea",checked,,,,518,123,15,0.5,4.8,7.2,2.9,0.3,0.7,1.3,,,,0,0,43,,81,0,110,24,1.5,1,,3,0,1.6,0,0.05,0.03,1.2,,0.04,,11,0,0,62797,,,,,,
161,669,743,beef bouillon,,,checked,,,1220,290,18,2,1,12,22,10,0,,0,0,0,51.6,0,15,32642,140,20660,220,14,4.7,,23,0,0,0.5,,0.07,0.19,5.2,0.7,0.1,4,6,3,0,5572,,,,,,
162,670,744,flax,"herb, herbaceous plant, genus Linum, Linum",,,,,2338,567,1.5,1.7,29,22,46,4.2,8.3,31.2,24,7.1,,0.08,0,265,,642,30,813,392,7,2.5,0,0,0,0.3,4.3,0.3,1,3.1,0.99,0.47,,87,0,0,4369,,,,,,
163,672,746,lemon rind,"skin, lemon zest, lemon, lemon oil, peel, lemon peel",,,,,121,30,0,0,11,1.5,0.5,0.1,0,0.1,,,0,0.02,0,130,,12,6,160,15,0.8,,,5,0,0.25,0,0.06,0.08,0.6,0.19,0.17,,11,0,130,64189,,,,,,
164,673,747,firmly packed brown sugar,,,,,,1646,387,97,96,0,0,0,0,0,0,0,0,0,0.08,0,56,,4,31,140,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65310,,,,,,
165,674,748,yellow onions,,,,,,173,41,7.9,6.1,2.2,1,0,0,0,0.07,,,0,0,0,30,54,23,3,138,8,0.3,0,2,2,0,0.29,0,0.11,0.02,0.6,0.04,0.1,1,11,0,3,64477,,,,,,
166,675,749,medium zucchini,courgette,checked,,,,92,22,1.8,1.7,2,1.8,0.5,0.1,0,0.2,,,0,0,0,25,45,45,1,360,22,0.8,1,,100,0,,3.3,0.12,0.02,0.6,0.08,0.15,,52,0,21,63523,,,,,,
167,676,750,yellow cornmeal,polenta,,,,,1512,358,70,0.6,7.3,8.1,3.6,0.51,0.95,1.6,,,,0.09,0,6,,241,35,287,127,3.5,15.5,,11,0,0.42,0.3,0.39,0.2,3.6,0.43,0.3,,25,0,0,6822,Dry,,,,,
168,677,751,espresso,"coffee, java, latte, caffe latte",,,,,38,9,1.7,0,0,0,0,0.09,0,0.09,,,0,0.04,0,2,,7,14,115,80,0.13,0,,0,0,0.01,0.1,0,0.18,5.2,0.03,0,,1,0,0.2,6560,,,,,,
169,678,752,pimento,"sweet pepper, paprika, pimiento",,,,,96,23,5.1,2.71,1.9,1.1,0.3,0.045,0.02,,0,,0,,0,6,,17,14,158,0.092,1.68,0.2,,133,0,0,8.3,0.017,0.06,0.615,0.01,0.215,,6,0,84.9,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168559/nutrients,,,,
170,679,753,oregano leaves,,checked,,,,147,36,0.8,0.8,8.6,1.8,0.9,0.23,0.1,0.21,,,0,0.01,0,323,,30,5,255,55,7.4,1,,34,0,,0,0.04,0.11,,0.19,0.21,,48,0,45,64486,,,,,,
171,680,754,parmigiano,parmesan,,,,,1717,413,0.9,0.9,0,35,30,19.3,7.7,1.1,,,1.1,1.7,0,1025,1100,680,660,152,41,0.8,12,72,410,0.3,0.76,0,0.03,0.32,9.1,0.43,0.11,3.3,12,3.3,0,63282,,,,,,
172,681,755,russet potatoes,,,,,,343,81,18,0.8,1.6,1.8,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,2570338,,,,,,
173,685,759,caraway,"herb, Carum carvi",,,,,1953,468,45,0.6,38,20,15,0.62,7.1,3.3,,,,0.04,0,689,,568,17,1351,258,16.2,12.1,,18,0,2.5,0,0.38,0.38,3.6,,0.36,,10,0,21,1242,,,,,,
174,686,760,onion soup mix,,,,,,1522,360,69,12,,5.5,6.9,3.3,,,,,,11.3,0,,6848,,4520,,,,,,,,,,,,,,,,,,,2357325,,,,,,
175,687,761,instant coffee,"coffee, java",,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,33,3,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,63476,Made up with water (2g coffee with 225ml water),,,,,
176,688,762,medium shrimp,,,,,,493,117,0,0,0,24,2.4,0.4,0.5,0.8,0.68,0.8,,9.6,0,320,5850,270,3840,400,110,1.8,46,100,,0,,0,0.01,0.01,5.4,0.24,0.08,1,9,3,0,65219,,,,,,
177,689,763,ground red pepper,cayenne pepper,,,,,1383,331,32,0,0,12,17,2.6,1.9,9.4,,,,0.08,0,150,,290,30,2010,150,34.1,4,,6135,0,,0,0.33,0.92,11.3,,,,0,0,0,64636,,,,,,
178,690,764,orange peel,"candied citrus peel, orange zest",,,,,394,94,14,,11,1.5,0,0.02,0.04,0.04,,,,0,0,161,,21,3,212,22,0.8,1,,21,,0.25,,0.12,0.09,0.9,0.49,0.18,,30,0,136,8627,,,,,,
179,691,765,kalamata,,,,,,915,222,4.8,2,2.7,1.8,21,2.3,15.3,2.1,0.06,1.7,,5,0,88,3750,3,2000,8,4,3.3,0.9,,120,,1.7,1.4,,,,0.02,0.02,,,,0.9,6635,,,,,,
180,692,766,parsley flakes,dried parsley,,,,,1129,273,14,12,45,16,7,0,,,,,,0.45,0,1080,860,340,180,4090,120,42,5,,3625,0,9.2,0,0.33,0.32,7.9,1.6,0.38,2.1,,0,120,64527,,,,,,
181,693,767,baby carrots,young carrots,checked,,,,152,36,6.1,5.5,2.4,0.7,0.5,0.1,0,0.3,,,0,0.1,0,34,39,25,40,240,9,0.4,1,2,1301,0,0.56,9.2,0.04,0.02,0.3,0.25,0.07,0.6,28,0,4,63203,,,,,,
182,694,768,grape tomatoes,cherry tomatoes,checked,,,,125,30,3.6,3.6,1.3,1.1,0.5,0.1,0.10.2,,,,0,0,0,10,95,31,4,274,12,0.34,0,2,80,0,0.89,0,0.05,0.02,0.5,0.19,0.06,1.8,24,0,15,65402,,,,,,
183,696,770,chipotle chile,,,,,,137,33,4.9,3.7,0.5,1.4,0.7,0.22,0,0.04,0,0,0,1,0,24.6,1033,28.5,413,347,15.5,0.75,0.07,4,40,0,0.8,3.7,0.07,0.03,1.2,0.27,0.16,1.7,14,0,8,110531,,,,,,
184,697,771,button mushrooms,,checked,,,,88,21,3,0.5,0.7,2.5,0,0.04,0,0.11,,,0,0,0,3,125,94,4,378,10,0.21,17,2,0,0,0.01,0.28,0.13,0.27,3,2.4,0.1,11.7,40,0,1,64395,,,,,,
185,698,772,burger buns,,,,,,1125,266,45,2.2,1.5,10,5,1.1,1.3,1.1,,,,1.4,0,130,890,150,550,110,31,2.3,9,19,,,0,,0.23,0.1,3.4,0.3,0.06,1,48,0,0,65608,,,,,,
186,700,774,sherry wine,,,,,,482,116,1.4,1.4,,0,0,0,0,0,0,0,0,0.03,15.7,7,12,11,10,57,13,0.4,0,,0,0,0,,0,0.01,0.1,,0.01,,0,0,0,65872,,,,,,
187,701,775,chopped fresh chives,,checked,,,,135,32,1.9,1.9,2.5,3.3,0.7,0.15,0.1,0.27,,,0,0,0,92,,58,3,296,42,1.6,0,,435,0,0.21,0,0.08,0.12,1.4,0.33,0.14,,105,0,58,63406,,,,,,
188,703,777,fresh thyme leaves,,checked,,,,499,120,15,0.6,12,3,2.5,1.2,0.2,0.5,,,0,0.05,0,630,,67,18,270,73,,2,,125,0,,0,0.16,0.13,2.6,,0.18,,91,0,17,65385,,,,,,
189,706,780,rice wine vinegar,,,,,,18,78,0.9,0.5,0,0,0,0,0,0,0,0,0,1,0,3,9610,10,400,34,4,0.1,1,,0,0,0,,0,0,0,0,0,0,0,0,0,139242,,,,,,
190,708,783,beets,"beetroot, mangel",checked,,,,216,51,9.1,8.4,2.3,2.3,0,0,0,0.1,,,0,0.23,0,29,80,87,90,510,16,0.8,0,,5,0,0,,0.01,0.01,0.4,0.1,0.04,0,110,0,5,62935,,,,,,
191,709,784,garbanzo beans,chick peas,checked,,,,518,123,15,0.5,4.8,7.2,2.9,0.3,0.7,1.3,,,0,0,0,43,,81,0,110,24,1.5,1,,3,0,1.6,0,0.05,0.03,1.2,,0.04,,11,0,0,62797,,,,,,
192,711,786,juice concentrate,"frozen orange juice, orange juice, concentrate",,,,,179,42,8.8,8.8,0,0.6,0,0.02,0.02,0.04,0,0,0,0.04,0,31.2,37,16.6,14.8,177,14,0.08,1,2.2,5.8,0,0.14,0,0.06,0.03,0.32,0.15,0.05,1.1,18,0,42,8279,,,,,,
193,712,787,sweetened coconut,,,,,,1842,440,44,34,1,5.3,27,25,,,,,,0.05,0,,30.3,,20,,,,,,,,,,,,,,,,0,,,2615684,Sweetened coconut milk,,,,,
194,713,789,cinnamon sticks,,,,,,984,238,26,14,53,4,1.2,0.4,0.3,0.1,,,,0.03,0,1000,,64,10,431,60,8.3,3,,15,0,2.3,31.2,0.02,0.04,,0.36,0.16,,6,0,4,63434,Ground cinnamon,,,,,
195,719,795,ground white pepper,,,,,,1238,296,44,0,26,10,2.1,0.62,0.79,0.62,,,0,0,0,270,6.1,180,4,73,90,14.3,3,,0,0,,0,0.02,0.13,,,0.1,,10,0,21,64637,,,,,,
196,721,797,hamburger buns,"bun, hamburger roll, roll",,,,,1125,266,45,2.2,1.5,10,5,1.1,1.3,1.1,,,,1.4,0,130,890,150,550,110,31,2.3,9,19,,,0,,0.23,0.1,3.4,0.3,0.06,1,48,0,0,65608,,,,,,
197,722,798,yellow mustard,,,,,,512,123,2.2,1.6,,5.7,7.7,0.5,,,,,,4.9,0,,2969,,1960,,,,,,,,,,,,,,,,,,,2542633,,,,,,
198,723,799,sun-dried tomatoes,,checked,,,,2165,526,5.2,2.9,13,3.3,51,6.7,15.1,27.2,0.72,26.4,0.35,2.5,0,31,1592,46,1008,460,27,1.9,0,48,67,0,24,,,,,,,,68,0,0,65912,,,,,,
199,724,800,low sodium chicken,,,,,,613,145,0,0,0,32,1.9,0.6,1,0.4,0.11,0.41,0.03,0.14,0,6,86,310,56,460,36,0.4,16,7,0,0.3,0.17,0,0.14,0.13,22,1.7,0.63,2,6,0,0,63336,Grilled chicken breast,,,,,
200,725,801,baking potatoes,,,,,,455,107,23,1.4,2.6,2.5,0,0.1,,,,,,0,0,,6.1,,4,,,,,,,,,,0.2,,,,,,,,,25777204,,,,,,
201,726,802,fennel bulb,,checked,,,,82,2,1.8,1.7,3.5,0.9,0,0,0,,,,0,0.03,0,24,27,26,11,440,8,0.3,,,23,0,,,0.06,0.01,,,0.06,,42,0,5,63780,,,,,,
202,728,804,red kidney beans,,checked,,,,453,108,14,0.6,8.5,6.9,0.6,0.1,0.1,0.3,,,0,0,0,71,,130,0,280,30,2,6,,1,0,0.19,0,0.21,0.06,1.7,0.15,0.11,,15,0,0,62819,,,,,,
203,729,805,low sodium chicken broth,,,,,,68,16,0,0,0,2.3,0.8,0.2,0.24,0.14,,,,0.39,0,3,,56,156,144,7,0.01,1,,2,0,0.17,0,0.03,0.08,1.2,0.33,0.04,,2,0.69,0.1,5391,,,,,,
204,731,807,tomato soup,,checked,,,,221,53,7.5,5.4,0.6,0.9,2,0.27,1.2,0.5,0.15,0.34,0.01,0.61,0,14,420,19,245,179,8,0.23,0,2,25,0,1.4,0,0,0.11,0.7,0.04,0.06,1.2,14,0,1,65240,,,,,,
205,732,808,stick butter,,,,,,3062,745,0.6,0.6,0,0.6,82,52,20.9,2.8,0.68,1.4,2.9,0.02,0,18,18,23,8,27,2,0,0,38,1060,0.9,1.9,7.4,0,0.07,0.1,0.05,0,0.2,0,0.3,0,63146,Unsalted,,,,,
