Field 1,Field 0,Field 1 2,Ingredient (as per 100 g),Synonyms,Fruit/Veg,Red/Processed Meat,Not food/drink,No Data Available,Energy (Kj),Energy (Kcal),Carbohydrate (g),Of which sugars (g),Fibre (g),Protein (g),Total fat (g),Of which saturates (g),Monounsaturated fat (g),Polyunsaturated fat (g),Omega 3 (g),Omega 6 (g),Trans-fats (g),Salt (g),Alcohol (g),Calcium (mg),Chloride (mg),Phosphorus (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Iron (mg),Selenium (ug),Iodine (ug),Vitamin A (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K1,Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Folates (B9) (ug),Vitamin B12 (ug),Vitamin C (mg),Nutritics ID,Comments,Source URL,Source URL 2,Source URL 3,Source URL 4,Source URL 5
366,994,1091,chuck roast,braising steak,,,,,943,225,0,0,0,34,9.7,4.1,4.1,0.6,,,0.4,0.16,0,8,62,220,62,340,23,2.7,11,15,1,0.8,0.02,0,0.05,0.26,13.2,0.55,0.34,2,54,3,0,62838,,,,,,
367,995,1093,mascarpone cheese,,,,,,1791,434,4.1,4.1,0,4.4,45,29.5,10.5,4.6,0.35,1.3,1.8,0.18,0,161,110,116,70,137,11,0,,14,412,0.3,1.1,,0.04,0.22,1.8,0.27,0.04,1.6,11,0.6,0,5710,,,,,,
368,1000,1098,cardamom pods,,,,,,1296,310,38,9.5,28,11,6.7,0.68,0.87,0.43,,,0,0.05,0,383,,178,18,1119,229,14,,,0,0,,,0.2,0.18,,,0.23,,0,0,21,63195,,,,,,
369,1001,1099,clam juice,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1002,1100,confectioners sugar,,,,,,1704,401,100,100,0,0,0,0,0,0,0,0,0,0.01,0,10,0,1,5,5,2,0.2,0,0,0,0,0,,0,0.02,0,0,0,0,0,0,0,65313,,,,,,
371,1005,1103,ground chicken,,,,,,449,106,,,,24,1.1,0.3,0.5,0.2,0.04,0.18,0.01,0.15,0,5,91,220,60,370,29,0.5,12,6,0,0.2,0.13,,0.14,0.14,15.4,1.3,0.51,2,14,0,0,63361,,,,,,
372,1006,1104,angel hair,,,,,,1489,351,70,3,3,14,1,0.2,,,,,,0,0,,6.1,,4,,,,,,,,,,,,,,,,,,,2570327,,,,,,
373,1010,1108,nonfat yogurt,,,,,,246,58,3.9,3.9,0,11,0,0,0,0,0,0,0,0.16,0,136,120,110,65,170,13,0.1,,48,0,0,0,,0.04,0.29,1.1,0.3,0.1,2,8,0.2,1,5635,,,,,,
374,1012,1111,milk chocolate chips,,,,,,2195,526,54,54,0.8,7.7,31,18.3,9.9,1.2,0.09,1,0.38,0.21,0,220,190,220,85,390,50,1.4,4,30,26.8,0,0.45,0,0.07,0.49,2.7,0.7,0.04,4,11,1,0,31577,,,,,,
375,1013,1113,smoked sausage,,,checked,,,1505,364,4,0,0,15,32,10.8,13.2,2.4,,,,2.8,0,35,,150,1100,210,13,3.1,,,0,0.5,0.12,0,0.14,0.16,,0.4,0.14,,4,3,,65864,,,,,,
376,1015,1115,pickle relish,relish,,,,,501,118,27,24,1.2,0.6,0,0,0,0,0,0,0,2.8,0,15,1230,12,1130,94,6,0.6,,,42,0,,0,0.03,0.01,0.2,,0.01,0,0,0,0,64654,,,,,,
377,1016,1116,glaze,"coat, surface",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,1017,1117,bouillon granules,,,,,,1347,321,39,1.4,0.9,14,12,6.2,0,0,0,0,0,48.2,0,49,29699,88,19295,1415,42,1.3,0,0,985,0,6.8,0,0,0.03,1.6,1.3,0,7.6,12.6,0,3.4,7839,,,,,,
379,1021,1121,asparagus spears,,checked,,,,123,29,1.4,1.4,1.4,3.4,0.8,0.1,0.2,0.3,,,0,0,0,25,60,50,1,220,13,0.6,1,0,65,0,1.2,52,0.12,0.06,1.4,0.16,0.07,0.4,173,0,10,62714,,,,,,
380,1022,1122,frozen mixed vegetables,,checked,,,,199,47,6.2,3.5,2.4,3.3,0.5,0,,,,,0,0.04,0,35,30,57,15,130,16,0.8,,,420,0,,0,0.12,0.09,1.3,,0.11,,52,0,13,65488,Boiled in unsalted water,,,,,
